"C3","C4","EMG","F3","F4","F7","F8","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.00881,0.00914,0.00399,0.00697,0.00613,0.00609,0.00399,0.00611,0.00848,0.00223,0.00732,0.00766,0.00846,0.00789,0.01,0.00168,0.00536,0.00583,0.00674,0.00578
0.00943,0.00941,0.0043,0.00787,0.00671,0.0073,0.00567,0.00513,0.00785,0.00213,0.00695,0.00793,0.00824,0.00894,0.01016,0.00184,0.00628,0.00624,0.00728,0.0065
0.00687,0.00701,0.00335,0.00697,0.00579,0.00595,0.00443,0.00495,0.00685,0.00209,0.0065,0.00673,0.00677,0.00562,0.0082,0.00161,0.00558,0.00593,0.00705,0.00525
0.00767,0.00781,0.00376,0.00818,0.00642,0.00618,0.00511,0.00544,0.00751,0.00196,0.00843,0.00738,0.00712,0.00642,0.00775,0.00159,0.00536,0.0053,0.00642,0.00542
0.00888,0.00859,0.00335,0.00771,0.00781,0.00605,0.00521,0.0055,0.00898,0.00215,0.00687,0.00841,0.00749,0.00808,0.00843,0.00203,0.0055,0.00476,0.00683,0.00685
0.00765,0.00754,0.0034,0.00724,0.00703,0.00624,0.00433,0.00567,0.0081,0.00243,0.00632,0.00724,0.00673,0.00697,0.00886,0.00174,0.00618,0.00589,0.00574,0.00583
0.00753,0.00806,0.00321,0.00826,0.00759,0.00597,0.00481,0.00566,0.00947,0.00208,0.00808,0.00767,0.00767,0.00669,0.00865,0.0018,0.00515,0.00511,0.0064,0.00696
0.00638,0.00623,0.00299,0.00666,0.00625,0.00452,0.00399,0.00446,0.00672,0.00209,0.00671,0.00697,0.00673,0.00691,0.0081,0.00184,0.00505,0.00499,0.0064,0.00603
0.00808,0.00788,0.00319,0.00607,0.00708,0.00522,0.00452,0.00516,0.00761,0.00225,0.00808,0.00906,0.00753,0.00767,0.0091,0.00198,0.00573,0.00446,0.00616,0.00614
0.00886,0.00755,0.00292,0.00663,0.00783,0.00487,0.00505,0.00564,0.00789,0.00211,0.0066,0.00656,0.00611,0.0075,0.00806,0.00164,0.00542,0.00474,0.00626,0.00581
0.00781,0.00792,0.00331,0.00693,0.00656,0.00563,0.00478,0.00579,0.0075,0.002,0.00829,0.00763,0.00743,0.0066,0.00923,0.00188,0.00552,0.0055,0.00661,0.00507
0.00863,0.00808,0.00378,0.00736,0.00755,0.00618,0.00503,0.00679,0.00894,0.00225,0.00976,0.00904,0.00832,0.00792,0.00998,0.00192,0.00583,0.00562,0.00669,0.00688
0.00994,0.00834,0.00352,0.00718,0.0091,0.00585,0.00562,0.00785,0.00898,0.00252,0.00889,0.00869,0.00808,0.00935,0.01121,0.00264,0.00679,0.00644,0.00726,0.00701
0.0085,0.0074,0.00389,0.00753,0.00744,0.00655,0.00554,0.00586,0.00765,0.00209,0.00726,0.0075,0.00757,0.00846,0.00877,0.00202,0.00613,0.00556,0.00673,0.00585
0.00953,0.00708,0.00343,0.00646,0.00773,0.00607,0.00554,0.0062,0.0072,0.00239,0.00783,0.00712,0.00685,0.00886,0.00892,0.00182,0.00579,0.00616,0.00609,0.00653
0.00818,0.00861,0.0036,0.00681,0.00687,0.00611,0.00482,0.00542,0.0072,0.00235,0.00845,0.00931,0.00835,0.01002,0.00943,0.00162,0.00472,0.00616,0.00693,0.00675
0.00722,0.00677,0.00313,0.00601,0.00747,0.00505,0.00468,0.00589,0.00744,0.00184,0.00775,0.00752,0.00722,0.00697,0.00682,0.00182,0.00517,0.00488,0.00548,0.00658
0.00789,0.00728,0.00276,0.00667,0.00761,0.00507,0.00489,0.00632,0.00802,0.00211,0.00671,0.00701,0.0066,0.00716,0.00839,0.00166,0.00524,0.00489,0.00597,0.00609
0.00795,0.00726,0.00344,0.00724,0.00755,0.00536,0.00513,0.00476,0.0082,0.00196,0.00757,0.00763,0.00704,0.0073,0.00841,0.00205,0.00505,0.00452,0.0063,0.00613
0.00837,0.00814,0.00356,0.00677,0.00794,0.00648,0.00552,0.00612,0.00793,0.00198,0.00775,0.00765,0.00826,0.00757,0.0091,0.00178,0.00583,0.00638,0.00732,0.00644
0.00701,0.00709,0.00327,0.00673,0.00646,0.00605,0.0048,0.00554,0.00664,0.00188,0.00697,0.00656,0.00783,0.00613,0.00771,0.00153,0.00548,0.00521,0.00703,0.00546
0.00771,0.00796,0.00335,0.00695,0.00628,0.0055,0.00435,0.00511,0.00755,0.00209,0.00726,0.00618,0.00738,0.00734,0.00847,0.0016,0.00499,0.0054,0.00648,0.00483
0.00798,0.00867,0.00323,0.00689,0.00591,0.00546,0.00507,0.00464,0.00681,0.00215,0.00865,0.00751,0.00802,0.0079,0.00937,0.00151,0.00464,0.00464,0.00679,0.00573
0.01791,0.01887,0.13371,0.0242,0.02941,0.01588,0.02748,0.03873,0.02668,0.02402,0.01111,0.02553,0.0116,0.034,0.0167,0.00369,0.02256,0.06584,0.0125,0.02146
0.01164,0.01066,0.11153,0.00944,0.01625,0.01165,0.02136,0.01445,0.01128,0.0021,0.00797,0.01663,0.00889,0.01237,0.008,0.00272,0.01588,0.00673,0.00797,0.01639
0.00889,0.0075,0.07041,0.00762,0.0107,0.00983,0.01658,0.00983,0.00821,0.00215,0.00771,0.01218,0.00713,0.00952,0.00795,0.00231,0.01251,0.00577,0.00935,0.01093
0.01068,0.00687,0.06764,0.00843,0.01287,0.01033,0.01765,0.01201,0.00914,0.00239,0.0072,0.01157,0.00685,0.00982,0.00869,0.00274,0.01321,0.00601,0.00781,0.01317
0.02072,0.01611,0.10162,0.01759,0.02581,0.01846,0.03679,0.02534,0.02107,0.00426,0.0133,0.02198,0.01341,0.01953,0.01658,0.00368,0.0263,0.00935,0.00632,0.02299
0.02436,0.02126,0.14008,0.02023,0.02819,0.02304,0.03087,0.02774,0.02469,0.00378,0.01587,0.02428,0.01737,0.02195,0.01909,0.00333,0.02532,0.01281,0.00921,0.0237
0.05157,0.0419,0.179,0.05057,0.08158,0.08001,0.13785,0.08019,0.05278,0.00518,0.03583,0.06487,0.03374,0.0475,0.04055,0.00702,0.06728,0.0284,0.00871,0.05749
0.01807,0.01907,0.05252,0.01703,0.02092,0.02162,0.02431,0.01885,0.01993,0.00278,0.01366,0.02583,0.01762,0.01955,0.01842,0.00259,0.01923,0.01043,0.00902,0.02568
0.0167,0.01281,0.08625,0.01449,0.02053,0.01723,0.02341,0.01638,0.01531,0.0029,0.013,0.02548,0.01044,0.01723,0.01279,0.00348,0.01685,0.00922,0.00744,0.02601
0.01384,0.01247,0.10906,0.01329,0.01629,0.01822,0.01934,0.01454,0.01417,0.00264,0.0137,0.02462,0.0118,0.01632,0.01157,0.00341,0.01353,0.00767,0.00648,0.02333
0.01317,0.01008,0.10959,0.01215,0.01423,0.01777,0.01857,0.01421,0.01147,0.00229,0.01022,0.02011,0.00989,0.01245,0.01104,0.00219,0.0112,0.00689,0.00814,0.01923
0.01579,0.01316,0.10959,0.03436,0.03972,0.02736,0.03343,0.02563,0.01465,0.00313,0.0118,0.02467,0.01154,0.01481,0.01334,0.00295,0.01592,0.00867,0.00873,0.02848
0.03905,0.052,0.11252,0.29186,0.47662,0.23681,0.21217,0.26755,0.0352,0.01126,0.02385,0.04395,0.02373,0.0296,0.02374,0.00542,0.06114,0.04693,0.00693,0.07279
0.01928,0.01729,0.10868,0.0184,0.02189,0.03785,0.04825,0.02134,0.01814,0.00336,0.02169,0.03341,0.01585,0.02053,0.01759,0.00259,0.02395,0.01554,0.00689,0.04247
0.01945,0.01974,0.16359,0.02756,0.02385,0.04939,0.0642,0.0192,0.02035,0.00301,0.02633,0.04247,0.02032,0.02295,0.01941,0.00293,0.02473,0.02536,0.00781,0.0451
0.02125,0.01676,0.13721,0.02218,0.01979,0.03676,0.05399,0.01892,0.01828,0.00239,0.02529,0.0403,0.01869,0.02585,0.02103,0.00237,0.02294,0.02101,0.01076,0.04696
0.02305,0.01744,0.15246,0.02985,0.0225,0.04919,0.06802,0.02357,0.0198,0.00315,0.02591,0.04342,0.01726,0.02482,0.01926,0.00272,0.03491,0.0216,0.00682,0.0457
0.01858,0.01917,0.13473,0.02959,0.02108,0.05373,0.05931,0.01735,0.01912,0.00309,0.02445,0.04643,0.01974,0.02366,0.02012,0.00245,0.02899,0.02748,0.00585,0.04152
0.01967,0.01826,0.13214,0.02244,0.01879,0.03387,0.05361,0.0174,0.01814,0.00264,0.02554,0.03814,0.02012,0.02124,0.01922,0.00307,0.02502,0.02089,0.00696,0.04293
0.0218,0.01566,0.14088,0.01903,0.0234,0.02823,0.04593,0.02308,0.02043,0.00215,0.02573,0.04529,0.01633,0.02574,0.01967,0.00278,0.02304,0.01621,0.00845,0.04725
0.02059,0.01501,0.17176,0.01801,0.01987,0.03193,0.03825,0.01753,0.01742,0.00211,0.02478,0.04337,0.01538,0.02249,0.01818,0.00264,0.02003,0.01482,0.00742,0.04367
0.02131,0.01577,0.17244,0.02054,0.01937,0.03377,0.04629,0.0189,0.01851,0.00231,0.02382,0.04753,0.01663,0.02481,0.01859,0.00245,0.02451,0.01616,0.00613,0.04733
0.01979,0.01616,0.13961,0.02025,0.02105,0.0338,0.04515,0.02008,0.01621,0.00229,0.02225,0.04462,0.01501,0.02454,0.0183,0.00262,0.02388,0.01866,0.00796,0.04203
0.02187,0.01657,0.15914,0.02354,0.02117,0.03589,0.06167,0.02189,0.01808,0.00305,0.02415,0.05083,0.01862,0.02696,0.01939,0.00309,0.02698,0.02392,0.00908,0.04905
0.01832,0.0147,0.15154,0.02253,0.02043,0.03736,0.04471,0.01891,0.0172,0.00192,0.02389,0.04645,0.01537,0.02458,0.01822,0.00258,0.02185,0.02071,0.00795,0.04617
0.01937,0.01546,0.18918,0.01936,0.01957,0.02968,0.05804,0.01797,0.01597,0.00184,0.02335,0.04177,0.01554,0.02323,0.01861,0.00182,0.02075,0.02041,0.00752,0.04573
0.01799,0.01573,0.15986,0.02039,0.01871,0.03619,0.05435,0.01834,0.01659,0.00231,0.02174,0.03729,0.01558,0.01952,0.01775,0.0019,0.02065,0.02039,0.0073,0.04187
0.0197,0.01396,0.16316,0.01775,0.02138,0.02243,0.03737,0.0184,0.01636,0.00262,0.02274,0.03732,0.01484,0.02016,0.01636,0.00264,0.0201,0.0143,0.01099,0.03602
0.01725,0.01356,0.13643,0.01654,0.01862,0.02313,0.03111,0.01625,0.0157,0.00221,0.02081,0.03449,0.01591,0.01883,0.0163,0.00217,0.01668,0.01087,0.00795,0.03552
0.01419,0.01259,0.10413,0.01249,0.01621,0.02147,0.02139,0.01363,0.01294,0.00223,0.01717,0.02651,0.01271,0.01355,0.01327,0.00252,0.01427,0.01108,0.00642,0.02689
